Unnamed: 0;Name;Category;Servings;Ingredients;Steps;Estimated Total Cooking Time (minutes)
215;Cocoa hot milk cake;Desserts;6;[['Flour 00', '135g'], ['Sugar', '160g'], ['Butter', '60g'], ['Whole milk', '120g'], ['Egg', '175g']];To make the hot milk cake, first preheat the oven in static mode at 180 °, then move on to the preparation of the dough: break the eggs in a bowl, add a pinch of salt as soon as the mixture is clear and frothy, it will take usAbout 10 minutes, turn off the electric whisk, place a strainer over the bowl and sift the yeast, the flour so as to incorporate them without dismantling the mixture. Now take a couple of tablespoons of dough and keep them aside in another bowl in onePour the milk, melt it completely, mixing with the whisk and bring it to touch the boil when the milk has reached the boil, turn off the flame and pour the mixture into the container with the spoonfuls of dough that you had kept aside, mix well with a whiskTo obtain a compound of the consistency of a batter, pour the batter into the largest container with the rest of the dough, mix gently with a greased spatula a 20 cm diameter mold pour the dough the cake is ready for cooking cook in the static ovenPreheated at 180 ° positioning the cake tin on the lowest shelf (not in contact with the base) for about 35 minutes.After the first 25 minutes, transfer the pan to the central shelf and continue cooking for the remaining 10 minutes.Check the cooking by testing the toothpick and, if once the dessert is spored, the toothpick will be dry, you could churn out the cake, let it cool, then extract it from the cake tin and place it on a wire rack to make it cool completely.Your hot and cocoa milk cake is ready to be served;45
244;Eggless pancake;Desserts;12;[['Whole milk', '400g'], ['Flour 00', '300g'], ['Sugar', '60g'], ['Butter', '30g'], ['Blueberries', '120g']];"To prepare the egg -free pancakes, melt the butter over very sweet heat then let it cool.Pour the flour into a bowl, add the yeast mix the dry ingredients mixing with a whisk;Then add the milk flush by continuing to mix to avoid the formation of lumps. Then add the melted butter as soon as they form small bubbles you can turn your pancake to prepare the accompanying blueberry sauce just pour them into a container if you prefer you canAdd little icing sugar.Your blueberry sauce is ready to garnish pancakes";45
249;Two -tone plumcake;Desserts;8;[['Flour 00', '250g'], ['Egg', '124g'], ['Sugar', '150g'], ['Whole milk', '120g'], ['Orange zest', '1']];To prepare the two -tone plumcake, start breaking the eggs in a bowl, add the sugar the grated zest of an orange after which, and always mixing, add the oil the milk finally incorporate the yeast for sweets always sifted at this point divide into two in twoThe bowl the built -in dough, mixing with a spatula avoiding the formation of lumps in the other bowl add the remaining part of the flour, always sifting it and incorporating it gently well, at this point you will have to pour the dough into a 25 x 11 plumcake moldcm already buttered and floured.Follow a free scheme, then pour a little light dough into spoonfuls and then the dark one, alternating the pour each, pass now to cooking in a static oven, already hot at 180 °, for about 35 minutes.As soon as it is ready, take out your two -tone plumcake and let it cool before teasing it and let it cool on a wire rack;45
264;Apple pie without butter;Desserts;6;[['Egg', '110g'], ['Flour 00', '120g'], ['Whole milk', '100g'], ['Golden apples', '650g'], ['Sugar', '50g'], ['Lemon zest', '1'], ['Flour 00', 'q.b.']];To prepare the apple cake without butter, first wash and divide the segments then remove the core and cut the cloves into very thin slices, start whipping the eggs with an electric mixer, while adding the sugar when the mixture is seeds-Imade add the lemon zest while always keeping the whips in action.Finally add the flour, pour the seed oil grease a 20 cm diameter mold with the seed oil then flour it lightly.Pour a ladle and a half of the dough inside, cover the apples with the remaining dough level with a spatula sprinkle with granulated sugar;45
284;Lemon plumcake;Desserts;8;[['Flour 00', '180g'], ['Sugar', '160g'], ['Egg', '155g'], ['Butter', '150g'], ['Potato starch', '50g'], ['Lemon juice', '25g'], ['Lemon zest', '2'], ['Poppy', '7g'], ['Butter', 'q.b.'], ['Flour 00', 'q.b.']];"To prepare the lemon plumcake first, melt the butter and let it cool.Meanwhile, sifted in a large bowl: the flour the starch in another bowl break the eggs, add the fragrant sugar with the grated lemon zest pour the juice also add the poppy seeds in the last melted butter now that all the ingredientsThey are incorporated, dip a tarot in a little melted butter, cook the plumcake in a preheated static oven at 190 ° for about 45 minutes;do the toothpick test for safety.When ready, let your lemon plumcake cool before enjoying it";45
298;Apple tart;Desserts;10;[['Flour 00', '250g'], ['Butter', '100g'], ['Egg', '55g'], ['Lemon zest', '1'], ['Golden apples', '950g'], ['Brown sugar', '100g'], ['Lemon juice', '1']];To make the apple tart, prepare the shortcrust pastry with the sandblasting method, start by pouring the flour into a mixer (if you want you can use the planetary mixer in the same way, it will be sufficient to use the leaf) together with the cold butter reduced to pieces operated the blades aMore shooting until a sandy mixture is obtained.Use the intermittent mixer will ensure that the dough does not warm up excessively.Turn off the blades and add the icing sugar, add the lightly beaten egg, quickly compactly with your hands, so gluten will not develop, just enough time to obtain a smooth and homogeneous dough.Wrap it in plastic wrap put the apple slices in a bowl and sprinkle them with the lemon juice so as not to blacken the past short time of the pastry, recover the dough, flour it lightly and roll it out with the rolling pin on a pastry board wrap the pastry lying on therolling pin and unroll it on a 28 cm diameter mold.Join the pastry with your hands on the edges and on the bottom of the pan now stuff the pastry with the apple slices: place the slices radial along the entire external edge in order to create a circle now insert the apples in the central hole in order toFasten it without leaving spaces finally sprinkle with cane sugar, the surface bake in a preheated static oven at 180 ° for 50 minutes.Once the 50 minutes have passed, take out the apple tart;45
310;Lemon cake;Desserts;8;[['Corn starch (cornstarch)', '120g'], ['Flour 00', '120g'], ['Butter', '250g'], ['Sugar', '250g'], ['Egg', '4'], ['Lemon juice', '75g'], ['Lemon zest', '2']];"To prepare the lemon cake, first cut the softened butter into cubes, then transfer it to a planetary mixer equipped with whisk (if you don't have a planetary mixer, you can use an electric mixer);Operate the planetary mixer and add half a dose of sugar little by little, until a smooth and frothy mixture are obtained, take the eggs and separated the egg whites from the yolks;While the planetary mixer is in operation, add a yolk to the mixture of butter and sugar waiting for it to be absorbed before adding the next.When the yolks are well mixed, add the zest of the two lemons grated in a bowl, sift the flour, the corn starch and the yeast together, then add them to the mixture, one spoonful at a time, while the planetary mixer is in operation when thePowers have mixed well, turn off the planetary mixer and transfer the mixture to a bowl perfectly clean the planetary mixer and use it again to whip the egg whites (you can alternatively use a bowl and the perfectly clean electric mixer): pour the egg whites then add the remaining dose doseAt this point, you can incorporate the whipped egg whites to the mixture that you had put aside: start adding 2 ladles when all the ingredients are well blended, pour the mixture into a diameter of 22-24 cm diameter, lined with paperOven level the surface then transfer it to a serving plate and let it cool completely, then sprinkle the surface with icing sugar.Your lemon cake is ready to be enjoyed";45
356;Egg -free donut;Desserts;10;[['Sugar', '180g'], ['Flour 00', '200g'], ['Potato starch', '80g'], ['Whole milk', '250g'], ['Lemon zest', '1'], ['Flour 00', 'q.b.']];To prepare the donut without eggs, start sifting the flour together the potato starch mix with a spoon, then add the granulated sugar now pour the milk flush by mixing simultaneously with a whisk to avoid the formation of lumps when the milk has been well blended, pour the seed oil flush, stirring with the whisk finally add the grated lemon zest then pour into the mixture, cook the donut in a preheated static oven at 170 ° for 35-40 minutes.Once the cooking time has passed, check that it is well cooked with a toothpick, then take it out of the oven and let it cool finally turn it upside down on a wire rack and let it cool completely;45
360;Ciambella Romagnola (Brazadela);Desserts;8;[['Sugar', '125g'], ['Flour 00', '300g'], ['Egg', '2'], ['Lemon zest', '1'], ['Butter', '80g'], ['Whole milk', 'q.b.'], ['Sugar', '1cucchiaio'], ['Sugar grains', '1cucchiaio']];"To make the Romagna donut, first melt the butter in a bain -marie and let it cool;Once cold add it to the eggs and beat lightly with the whisk to mix in another bowl pour the sifted flour the sugar the salt flavored with the lemon zest, taking care to grate only the yellow and not the white part that would be bitter to thisPunto Pour the mixture of eggs and melted butter to the bowl with the powders then transfer the mixture to the work surface and continue by mixing by hand once you get a homogeneous and compact dough, give it the shape of a filton, lay it on a baking tray garnished with garnished withThe grain of sugar cook the Romagna donut in a ventilated oven at 170 ° for 40 minutes, taking care to turn the pan after the first 20 minutes to obtain homogeneous cooking.Once ready, take out the Romagna donut";45
366;Apple plumcake;Desserts;10;[['Red Delicious apples', '380g'], ['Flour 00', '300g'], ['Brown sugar', '150g'], ['Orange juice', '100g'], ['Egg', '110g'], ['Brown sugar', 'q.b.']];To prepare the apple plumcake, wash and divide the apples in half then remove the seeds and the core cut 1 apple and a half for the sense of lengthwise in this way it will be easier to reduce it to regular cubes of about 1 cm, pour the pieces of appleIn a bowl, add 50 g of brown sugar mix and keep aside in a bowl in the meantime pour the eggs, 100 g of cane sugar worked for a couple of minutes with the electric whisk then add the seed oil sifted the flourTo obtain a smooth and homogeneous mixture, add the apples you had marked with coted sugar and orange juice and flour a plumcake mold and fill it with the dough.With a mandolin sliced ​​the half apple remained in slices of about 3 mm (19-20).Decorate the surface of the plumcake with the apple slices sprinkled with brown sugar;45
402;Potatoes' Mpacchius;Side Dishes;4;[['Potatoes', '930g'], ['Tropea red onions', '240g']];To prepare the 'mpacchiuse potatoes, first peel the potatoes then cut them into slices about 3 mm thick the onion then and make the same thing: cut it first in half and then into slices less than half a cm thick the oil in a panLet it heat it then add the seasoned potatoes covered with the lid, cook for another 20 minutes, shaking the pan from time to time so as not to stick them on the bottom.So remove the lid at this stage you will not have to mix the potatoes very often.To get very intact potatoes you just have to jump a couple of times, otherwise you can mix them with a wooden ladle, gently.When cooked, take the potatoes with a skimmer and transfer them to a serving dish.It will not be necessary to use absorbent paper.Serve the 'mpacchiuse potatoes with still hot onion;30
403;Potato chips;Side Dishes;4;[['Potatoes', '4']];Wash the potatoes dry them dab the slices one by one with a clean cloth;30
408;Ginger biscuits;Desserts;18;[['Brown sugar', '50g'], ['Hazelnut flour', '50g'], ['Fresh ginger', '50g'], ['Butter', '125g'], ['Sugar', '65g'], ['Yolks', '1'], ['Lemon zest', '1'], ['Flour 00', '310g']];To make the ginger biscuits, start with the ginger with a knife then cut it into small pieces in the bowl of a mixer pour the hazelnut flour, brown sugar and the ginger cut into small pieces blend everything until a homogeneous mixture is obtained transfer the doughInside a bowl and add the softened butter into chopped pieces with the lemon zest, also add the sugar poured into the mixture mixed the egg yolk mix again, then add the flour in two strokes, in this way it will be more practicalMix it to the rest of the dough, start kneading by hand, collect all the ingredients well, then transfer the dough to a lightly floured pastry board wrap it with a cooking plastic wrap after the rest time, take the loaf, lay it on a pastry board and sprinkle it with a little flourBy placing 1 cm high stripes on the two sides that will help you get the right thickness (if you have not tried them anyway to reach the thickness indicated), then roll out the dough with the rolling pin then with a cup of the 6 cm diameter cut iKneaded biscuits again the advanced pastry to make other biscuits: with these doses you will get 18. As you make the biscuits, lay them on a tray with the help of a tarot or a palette so as not to heat the dough too much then let them firm in the refrigerator for 10-15 minutes, in this way they will keep the shape in cooking.After 10-15 minutes, pull the tray out of the refrigerator and transfer the biscuits to a dripping dripped with parchment paper, cook the biscuits, let them cool before serving them;45
437;Yogurt and egg -free apples cake;Desserts;8;[['Fuji apples', '400g'], ['Greek yogurt', '250g'], ['Flour 00', '250g'], ['Sugar', '125g'], ['Whole milk', '150g']];To prepare the yogurt and egg -free apples cake, start leaving all the fresh ingredients for a while: in this way you will be safe on the optimal success of the cake because they will all have the same room temperature.Then pour the milk into a bowl together with the Greek yogurt diluted with a whisk and add the granulated sugar, mix carefully, then put a strainer on the container and sift the flour mixing vigorously to make it absorb thus avoiding the formation of lumps then add the yeast for sweetsAnd the cinnamon powder at this point you can peel the apples and remove the core (you will get about 300 g of apples).Slice them and cut them into cubes of about 2 cm as you cut, immediately pour into the container that contains the dough so you will avoid that the cubes become dark mixed well with a spatula and pour the mixture into a 24 cm diameter cake tin(If you can use a hinged mold), spatulate to level the cake if you prefer, serve your yogurt and apples cake without eggs with a sprinkling of icing sugar;45
443;Soft lemon and orange biscuits;Desserts;30;[['Butter', '100g'], ['Egg', '70g'], ['Flour 00', '320g'], ['Sugar', '90g'], ['Lemon', '1'], ['Orange', '1'], ['Sugar', '60g']];"To prepare the soft lemon and orange biscuits first, melt the butter over very sweet heat, then let it cool.Then wash and dry the citrus fruits, grate the peel, paying attention not to pick up even the most bitter white part, continue squeezing the juice of the two agumes and obtain 40 grams from each;Keep aside in a container, place a strainer and sift the flour and the yeast, start kneading by hand while add the eggs at room temperature then the granulated sugar the peel of the citrus fruits, continue to knead until a soft and compact ball is obtained, you will cover withfilm and let it rest in the refrigerator for an hour spent the time needed to compact the dough formed balls of about 20 grams each, thus obtaining thirty pieces gradually arrange the biscuits on a dripping pan with parchment paper by keeping them spaced betweenThen sprinkle the surface with icing sugar, cook the biscuits on the lowest shelf of the oven (not in contact with the base) preheated, in static mode, at 180 ° for about 30 minutes once ready, let them cool and enjoy your fragrant biscuitsSoft lemon and orange";45
452;Wholemeal biscuits;Desserts;40;[['Wholemeal flour', '350g'], ['Butter', '150g'], ['Muscovado sugar', '150g'], ['Lemon zest', '1'], ['Egg', '110g']];To prepare the wholemeal biscuits, start occupying the pastry: pour the wholemeal flour in a mixer, the muscovado sugar, operate the blades until it blends everything and until a crumbled mixture is obtained then transfer it to a pastry board.Add the grated lemon zest start to knead quickly with your hands (7-8) just enough time to get a uniform dough but without warming the dough too much. So whisk it in the film transparent at this point use a pasta cup diameter of 5cm, carve your biscuits by distancing them slightly.Once the whole bare baking tray is filled, take them out of the oven wait a few minutes and transfer them to a wire rack;45
464;Sablés biscuits;Desserts;70;[['Butter', '230g'], ['Flour 00', '320g'], ['Sugar', '100g'], ['Vanilla extract', '1cucchiaino'], ['Sugar', 'q.b.']];To prepare the Sablés biscuits, put the softened butter at room temperature in a mixer and divided into cubes the granulated sugar and the vanilla extract operate the mixer and reduce the ingredients in Sift the flour, add it to the mixture transfer thedough on a lightly floured pastry board after this time, remove the dough from the fridge and shape it in 4 cylinders with a diameter of 3 cm cover the cylinders with plastic wrap with a smooth blade knife, divide the cylinders into 2 cm thick discsPlace the biscuits obtained on a dripping pan lined with parchment paper and bake them in a preheated oven at 200 ° for about 15 minutes, until they are slightly golden.Remove from the oven and transfer them immediately to a wire rack;45
470;Ciambellone without butter;Desserts;8;[['Flour 00', '350g'], ['Sugar', '180g'], ['Egg', '4'], ['Whole milk', '50g'], ['Orange zest', '1']];"To prepare the donut with olive oil, start by placing the eggs at room temperature in the cup of a planetary mixer equipped with whisk and add the sugar, with the pinch of salt then the olive oil flush when the oil yesIt will be absorbed, continue with the milk at room temperature always poured flush then sift the flour and the yeast in a bowl then add the powders little by little to the mixture you will have to obtain a homogeneous and fluid mixture;Grease and flour a rather deep donut mold of 24 cm in diameter.Pour the mixture inside with the help of a spatula, let it cool, then turn it out and let it cool full on a wire rack before serving your donut with olive oil, you can sprinkle it with icing sugar or decorate it with one";45
482;Lemon cream;Desserts;1;[['Whole milk', '500ml'], ['Sugar', '150g'], ['Potato starch', '35g'], ['Flour 00', '35g'], ['Yolks', '6'], ['Lemon zest', '3']];To prepare the lemon cream, take the lemon zest, taking care not to take the white part you will have to obtain a homogeneous cream, before adding the flour and starch sifted then add the whiten milk, mix vigorously to obtain a homogeneous and fluid mixture then fluidPour it again into the pan filtering it with a stranger strainer to prevent lumps from creating the low fire and cook the cream stirring constantly with the whisk until it has thickened (it will take about 15 minutes). When it has thickened,Before turning off the fire you can grate the zest of a lemon if you prefer to flavor more then cover it with the cling film;45
513;Apple and Nutella pie;Desserts;8;[['Butter', '150g'], ['Flour 00', '300g'], ['Egg', '4'], ['Sugar', '80g'], ['Whole milk', '90g'], ['Apple Stark', '3'], ['Nutella', '150g'], ['Condensed milk', '30g'], ['Brown sugar', '30g'], ['Lemon', '1']];To make the apple and nutella cake, first peel the apples and cut them into half -centimeter threbents, place the wedges in a bowl full of cold water acidulated with the lemon juice so as not to blacken them and take care of the dough.Place the previously softened butter with a whip with a whisk together with the sugar add the eggs at room temperature one at a time the salt and beat for at least 5 minutes, until a homogeneous mixture is obtained and without lumps add the mixture previously sifted with the mixture with the flour withThe yeast alternating the addition of the milk at room temperature mix the ingredients well, then divide the dough into two equal parts and in the other the condensed milk mixed to obtain two compounds: one light and one dark once the doughs created l'marbled effect: let a drill go down from top to bottom through the two colors of the dough drain the apple slices from the acidulated water, each take the clove, pass it in cane sugar to completely cover it, place the wedges above thecake by creating a radial motif (16-17).Bake the donut in a preheated static oven for about 55 minutes at 180 ° (in a ventilated oven for 45 minutes at 160 °).The last minutes placed on the cake a sheet of foil that will serve in order not to make the cake darken too much.Check the cooking by checking with a toothpick: if by punishing the donut in depth they will not remain residues on the toothpick, the dessert will be cooked.When cooked, take out the cake;45
516;Orange biscuits;Desserts;26;[['Orange zest', '1'], ['Orange juice', '50g'], ['Flour 00', '400g'], ['Yolks', '35g'], ['Butter', '150g'], ['Sugar', '125g']];To prepare orange biscuits first, make sure all the ingredients are at room temperature.In a bowl, pour the flour, the yeast the sugar also add a pinch of salt squeezed the orange and filter the juice through a strainer, add the juice to the dough mixed by hand to collect all the ingredients then transfer the dough to a pastry boardFrom these cut with a tarot of the pieces of 30 g formed with the hands of the balls then with a whisk pressed on the surface to leave the footprint, so the decorative reason reminiscent of the orange wedges will be created now cooking the orange biscuits inStatic oven preheated to 180 ° for about 25 minutes.Once ready, churn out them to cool before serving them;45
521;Hot milk muffins;Desserts;12;[['Flour 00', '220g'], ['Egg', '165g'], ['Sugar', '140g'], ['Whole milk', '130g'], ['Butter', '60g'], ['Lemon zest', '1'], ['Sugar grains', 'q.b.']];To make the hot milk muffins, start working the eggs until a frothy mixture is obtained.Always with the whisk in action, add the flour the yeast, the lemon zest pour the milk into a saucepan, take about 4 spoonfuls of mixture and transfer them to a small bowl pour the hot milk inside now pour everything into the rest of the sugar egg doughand flour insert the paper cups into a 12 muffin mold and fill with the mixture distributed on the surface of the sugar grain;45
534;ACE cake;Desserts;8;[['Flour 00', '350g'], ['Carrots', '220g'], ['Orange', '1'], ['Lemon', '1'], ['Sugar', '200g'], ['Egg', '170g']];To make the ACE cake, first grate the lemon and orange zest, taking care not to take the white part squeeze and filter the juice of both lemon and orange and beaten whipping the eggs with the sugar in a bowlIt also add the grated citrus zest, add the yeast, then pour the citrus juice in the event, add the grated carrots, pour the dough into a donut mold with a diameter of 22 cm after this time, check the cooking with a toothpick,Then take out the donut and sprinkle the donut and sprinkle with icing sugar to taste your ace cake is ready to be enjoyed;45
538;French fries;Side Dishes;4;[['Potatoes', '800g']];Start the preparation of the fried potatoes Pelando the potatoes, put the oil to heat in a pan and when it has reached the temperature of 170 ° (you can use a kitchen thermometer to measure the exact temperature), dip a few potatoes at a time wait for about 5 minutesAnd transfer them to a tray lined with kitchen paper in order to eliminate excess oil.Continue to fry the chips and gradually salt them serve the fried potatoes still steaming and crunchy as you wait, in fact, will tend to become softer.;30
